INFO:root:43-Troglodytes_aedon 390418.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 23596.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 108963.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 461500.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 177957.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 177010.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 290447.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 326992.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 159484.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 290441.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 321087.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 263720.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 290439.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 263719.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 523003.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 1213.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 538856.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 96009.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 71077.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 523005.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 522951.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 1214.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 295919.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 388609.mp3 is too short, ignored.
INFO:root:43-Troglodytes_aedon 168207.mp3 is too short, ignored.
